Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/statistics/immigration-statistics-year-ending-march-2018-data-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Broad category,Applicant type,Category,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Exceptional Talent,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,1,6,13,11,20,15,15,9,20,16,23,20,26,22,21,22,42,36,47,72,97,89,113,85,117,94,102
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Other,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Work,Tier 1 & pre-PBS equivalent,Main applicant,International Graduates Scheme,z,z,z,z,z,z,z,z,z,0,244,457,873,539,52,6,5,5,3,0,0,1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 1 & pre-PBS equivalent,Main applicant,Other permit free employment - High value,"1,430","1,806","2,065","2,185","2,226","2,177","2,173","2,370","2,364","2,575","2,804","3,107","3,835","2,792",547,181,108,151,57,77,53,26,18,17,20,16,18,17,15,13,29,27,20,23,20,25,27,29,47,53,60,45,67,86,102,120,136,160,239,119,232,148,169
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - General,z,z,z,z,z,z,z,z,z,z,z,z,z,163,930,"1,993","2,916","2,751","2,162","2,548","2,439","3,462","3,802","3,110","3,054","2,710","2,448","1,824","1,953","1,537","1,327","1,104","1,287","1,136","1,125",837,912,702,550,480,425,340,203,170,126,78,53,32,35,31,19,19,20
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Investors,z,z,z,z,z,z,z,z,z,z,z,z,z,z,48,47,63,53,101,65,72,79,110,111,74,113,214,128,171,231,318,200,197,322,305,214,317,443,414,649,172,160,99,85,67,68,134,104,96,117,205,116,158
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Entrepreneurs,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10,13,18,59,59,44,34,55,92,58,88,105,157,140,191,243,261,259,393,406,548,370,504,544,692,521,615,501,519,375,413,466,472,346,344,401,281,511,368
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Graduate entrepreneurs,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2,1,1,1,7,4,4,12,18,9,3,13,3,10,8,1,9,4,12,11,11,20,14,16
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Post Study,z,z,z,z,z,z,z,z,z,z,z,z,z,z,32,197,465,626,529,859,767,866,833,778,759,748,795,750,"1,126",982,837,954,968,688,514,347,264,62,22,12,9,3,1,1,5,1,0,0,0,0,1,0,2
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Exceptional Talent,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,0,0,3,1,17,7,6,5,11,1,3,4,18,4,16,8,24,10,29,40,28,24,37,59,58,30,35
