Quarter,Region,total_no_visit,total_work,total_study_no_short,study_short,family,total_dependent,total_other,
2005-Q1,*Total,428907,121258,60550,26335,2683,15943,6850,316546
2005-Q1,Africa North,16325,2960,413,1622,29,471,87,13703
2005-Q1,Africa Sub-Saharan,74109,21224,11967,3360,36,3563,753,54430
2005-Q1,America North,6680,6376,3856,555,0,857,823,589
2005-Q1,America Central and South,11561,4697,1135,1800,90,739,231,7566
2005-Q1,Asia Central,3326,948,121,265,24,353,104,2459
2005-Q1,Asia East,33590,10831,3017,6812,77,428,280,22976
2005-Q1,Asia South,127816,31256,14020,6616,25,5627,2915,98613
2005-Q1,Asia South East,26512,8962,4099,1831,1106,1201,213,18062
2005-Q1,EU 14,9,4,0,1,0,0,2,6
2005-Q1,EU 2,13124,4442,3676,171,34,142,261,8840
2005-Q1,EU 8,13,2,1,0,0,1,0,11
2005-Q1,EU Other,4167,274,108,66,9,37,2,3945
2005-Q1,Europe Other,60100,9930,5061,1229,1101,1209,187,51313
2005-Q1,Middle East,33868,4142,554,1902,149,608,443,30212
2005-Q1,Oceania,15156,14855,12483,79,0,670,547,1377
2005-Q1,Other,2551,355,39,26,3,37,2,2444
2005-Q2,*Total,665996,159061,75095,40822,6257,17903,8385,517534
2005-Q2,Africa North,24943,3662,951,1594,217,443,72,21666
2005-Q2,Africa Sub-Saharan,91951,21577,12070,2724,53,4193,840,72071
2005-Q2,America North,10185,9695,5218,1481,0,1024,1587,875
2005-Q2,America Central and South,18851,6320,1561,2946,60,784,317,13183
2005-Q2,Asia Central,5526,2233,152,1617,54,254,51,3398
2005-Q2,Asia East,59802,17182,3013,12827,146,587,273,42956
2005-Q2,Asia South,204877,35601,17281,5410,32,6729,3296,172129
2005-Q2,Asia South East,37750,12190,7619,2364,260,1022,261,26224
2005-Q2,EU 14,20,3,0,1,0,0,0,19
2005-Q2,EU 2,18134,5237,4389,255,73,147,182,13088
2005-Q2,EU 8,16,6,2,1,0,0,2,11
2005-Q2,EU Other,5544,642,167,378,24,24,0,4951
2005-Q2,Europe Other,99109,23875,10552,5744,4648,1437,268,76460
2005-Q2,Middle East,71911,6906,936,3300,661,609,725,65680
2005-Q2,Oceania,13805,13394,11128,138,0,600,508,1431
2005-Q2,Other,3572,538,56,42,29,50,3,3392
2005-Q3,*Total,569218,196901,58986,96952,5447,16958,7394,383481
2005-Q3,Africa North,21283,4389,644,2502,152,548,57,17380
2005-Q3,Africa Sub-Saharan,84942,24521,8924,9561,116,3119,777,62445
2005-Q3,America North,18643,18262,6468,8860,3,1079,1434,799
2005-Q3,America Central and South,17512,8508,1780,4818,52,756,388,9718
2005-Q3,Asia Central,5656,2420,119,1692,14,410,77,3344
2005-Q3,Asia East,67067,30419,2872,26347,59,506,294,36989
2005-Q3,Asia South,153546,48525,16893,19936,49,6593,2260,107815
2005-Q3,Asia South East,34104,15329,5053,8251,166,971,272,19391
2005-Q3,EU 14,11,6,2,0,0,0,2,7
2005-Q3,EU 2,15719,3849,2308,852,25,212,287,12035
2005-Q3,EU 8,18,4,1,0,1,1,0,15
2005-Q3,EU Other,3982,659,249,299,10,41,9,3374
2005-Q3,Europe Other,71841,18487,4682,6155,4407,1543,237,54817
2005-Q3,Middle East,60435,10326,835,6997,376,616,808,50803
2005-Q3,Oceania,11025,10603,8119,608,0,506,482,1310
2005-Q3,Other,3434,594,37,74,17,57,10,3239
2005-Q4,*Total,401303,109081,48835,27475,1447,15520,5792,302234
2005-Q4,Africa North,16587,3598,565,1869,77,513,50,13513
2005-Q4,Africa Sub-Saharan,61393,17439,8665,3196,100,3077,633,45722
2005-Q4,America North,6895,6629,3512,1084,0,870,878,551
2005-Q4,America Central and South,11688,5053,946,2425,29,665,312,7311
2005-Q4,Asia Central,4023,1092,134,425,19,363,52,3030
2005-Q4,Asia East,35244,9402,2743,5649,38,506,185,26123
2005-Q4,Asia South,108135,30718,14778,6217,12,5431,1933,79764
2005-Q4,Asia South East,22714,7701,3744,1841,45,1228,248,15608
2005-Q4,EU 14,7,3,0,0,0,1,1,5
2005-Q4,EU 2,14698,2696,1911,167,21,151,229,12219
2005-Q4,EU 8,22,4,0,0,0,0,0,22
2005-Q4,EU Other,4086,300,96,78,5,28,6,3873
2005-Q4,Europe Other,69087,9322,3013,2080,1073,1513,183,61225
2005-Q4,Middle East,33742,4567,497,2265,25,685,493,29777
2005-Q4,Oceania,10414,10111,8206,160,0,455,586,1007
2005-Q4,Other,2568,446,25,19,3,34,3,2484
2006-Q1,*Total,441273,127537,62771,30242,2915,16117,5888,323340
2006-Q1,Africa North,17956,3588,545,1926,100,550,80,14755
2006-Q1,Africa Sub-Saharan,55710,18636,9721,3082,40,3275,684,38908
2006-Q1,America North,7055,6669,4086,538,0,905,839,687
2006-Q1,America Central and South,11581,4674,1119,1755,80,748,290,7589
2006-Q1,Asia Central,3812,973,118,304,7,353,94,2936
2006-Q1,Asia East,39070,12063,3712,7283,46,555,243,27231
2006-Q1,Asia South,139782,35477,17556,8646,19,5121,1934,106506
2006-Q1,Asia South East,26720,9181,4050,1853,1051,1385,284,18097
2006-Q1,EU 14,5,3,0,0,0,0,1,4
2006-Q1,EU 2,15600,4502,3589,251,25,159,304,11272
2006-Q1,EU 8,10,0,0,0,0,0,0,10
2006-Q1,EU Other,2826,262,135,48,3,25,3,2612
2006-Q1,Europe Other,66910,13710,6837,2290,1489,1676,178,54440
2006-Q1,Middle East,38854,4441,551,2147,48,701,433,34974
2006-Q1,Oceania,13174,12938,10732,89,0,615,509,1229
2006-Q1,Other,2208,420,20,30,7,49,12,2090
2006-Q2,*Total,686671,163339,74069,40571,12638,16997,7933,534463
2006-Q2,Africa North,26022,4616,1044,2151,215,639,46,21927
2006-Q2,Africa Sub-Saharan,73186,16360,8361,2478,114,2779,716,58738
2006-Q2,America North,10270,9743,5407,1359,0,982,1627,895
2006-Q2,America Central and South,18291,5788,1361,2362,54,819,348,13347
2006-Q2,Asia Central,7236,2646,194,1637,44,446,191,4724
2006-Q2,Asia East,68149,16798,3298,12269,110,570,258,51644
2006-Q2,Asia South,229243,39109,21843,5777,55,6290,2529,192749
2006-Q2,Asia South East,37434,12091,7426,2044,211,1375,322,26056
2006-Q2,EU 14,11,5,0,0,0,0,3,8
2006-Q2,EU 2,19979,4944,3662,241,53,194,601,15228
2006-Q2,EU 8,15,5,1,0,0,0,3,11
2006-Q2,EU Other,393,88,38,15,3,18,7,312
2006-Q2,Europe Other,105125,28726,8300,6024,11381,1456,239,77725
2006-Q2,Middle East,73423,7335,823,4042,375,748,465,66970
2006-Q2,Oceania,15048,14595,12280,151,0,630,574,1413
2006-Q2,Other,2846,490,31,21,23,51,4,2716
2006-Q3,*Total,663693,216379,62269,109284,5783,19164,8017,459176
2006-Q3,Africa North,25968,6681,851,4000,508,662,94,19853
2006-Q3,Africa Sub-Saharan,81877,22413,6552,9773,101,3130,609,61712
2006-Q3,America North,19237,18843,6728,9214,0,1072,1372,851
2006-Q3,America Central and South,18492,8709,1762,4879,97,859,341,10554
2006-Q3,Asia Central,6982,3296,216,1891,24,651,361,3839
2006-Q3,Asia East,82980,33873,3747,28840,86,570,335,49402
2006-Q3,Asia South,193881,56944,20379,24197,46,7426,2244,139589
2006-Q3,Asia South East,39717,18225,6349,9224,126,1477,257,22284
2006-Q3,EU 14,13,5,2,2,0,0,0,9
2006-Q3,EU 2,17976,4167,1926,899,55,298,795,14003
2006-Q3,EU 8,21,5,1,0,0,0,0,20
2006-Q3,EU Other,610,272,87,134,0,30,4,355
2006-Q3,Europe Other,82385,19995,4487,7725,4461,1595,293,63824
2006-Q3,Middle East,78953,11733,1081,7825,264,818,781,68184
2006-Q3,Oceania,10969,10618,8053,599,1,515,522,1279
2006-Q3,Other,3632,600,48,82,14,61,9,3418
2006-Q4,*Total,436624,116437,50525,31017,1879,17841,5721,329641
2006-Q4,Africa North,17774,4134,676,2339,112,489,70,14088
2006-Q4,Africa Sub-Saharan,64928,16288,6930,3416,41,3265,676,50600
2006-Q4,America North,7562,7296,3935,1341,0,900,821,565
2006-Q4,America Central and South,12543,5502,1191,2481,50,819,261,7741
2006-Q4,Asia Central,5832,2030,174,753,14,560,405,3926
2006-Q4,Asia East,39096,9245,2888,5317,46,582,183,30080
2006-Q4,Asia South,125397,35780,17318,7512,19,7214,1822,91512
2006-Q4,Asia South East,24578,8010,4098,1985,35,1076,283,17101
2006-Q4,EU 14,6,2,1,0,0,0,0,5
2006-Q4,EU 2,11729,1780,1154,99,7,143,240,10086
2006-Q4,EU 8,20,3,0,1,0,0,1,18
2006-Q4,EU Other,370,126,41,38,1,33,6,251
2006-Q4,Europe Other,78558,10516,3160,2537,1511,1531,232,69587
2006-Q4,Middle East,35285,5223,800,3022,40,674,134,30615
2006-Q4,Oceania,10377,10116,8146,151,0,503,581,996
2006-Q4,Other,2569,386,13,25,3,52,6,2470
2007-Q1,*Total,446247,130561,60346,31627,3167,18892,7879,324336
2007-Q1,Africa North,16465,3020,509,1460,72,469,47,13908
2007-Q1,Africa Sub-Saharan,59218,17359,7655,3514,29,3503,900,43617
2007-Q1,America North,7480,7078,4578,583,0,907,750,662
2007-Q1,America Central and South,13034,5680,1150,2568,78,994,302,7942
2007-Q1,Asia Central,5442,2220,205,709,27,656,513,3332
2007-Q1,Asia East,39414,11864,3964,6669,87,563,263,27868
2007-Q1,Asia South,148571,40926,18323,9343,35,7474,3814,109582
2007-Q1,Asia South East,28739,9402,4340,1715,957,1513,389,19825
2007-Q1,EU 14,8,4,1,0,0,0,0,7
2007-Q1,EU 2,28,6,4,0,0,0,1,23
2007-Q1,EU 8,16,4,1,0,0,0,1,14
2007-Q1,EU Other,321,108,39,27,1,23,7,224
2007-Q1,Europe Other,73345,13225,6412,2225,1833,1325,201,61349
2007-Q1,Middle East,36933,4885,852,2701,43,753,100,32484
2007-Q1,Oceania,14657,14365,12283,91,0,614,582,1087
2007-Q1,Other,2576,415,30,22,5,98,9,2412
2007-Q2,*Total,628923,148264,58054,38156,15445,15047,11589,490632
2007-Q2,Africa North,25032,4043,1022,1410,515,498,72,21515
2007-Q2,Africa Sub-Saharan,68055,15205,6285,2536,39,3063,1508,54624
2007-Q2,America North,9471,8975,5113,1422,1,957,1151,827
2007-Q2,America Central and South,18756,6542,1366,3043,138,873,271,13065
2007-Q2,Asia Central,7821,2428,153,1171,242,347,363,5545
2007-Q2,Asia East,69677,15397,3087,10948,238,561,287,54556
2007-Q2,Asia South,201387,36626,17418,6252,58,4912,5387,167360
2007-Q2,Asia South East,38158,11631,5553,2485,261,1210,1517,27132
2007-Q2,EU 14,8,5,1,0,0,0,0,7
2007-Q2,EU 2,19,12,4,1,0,2,0,12
2007-Q2,EU 8,10,3,1,0,0,0,0,9
2007-Q2,EU Other,408,99,38,21,1,24,9,315
2007-Q2,Europe Other,107033,27080,6728,4881,12848,1209,235,81132
2007-Q2,Middle East,67374,7444,1037,3760,1090,666,224,60597
2007-Q2,Oceania,12565,12159,10200,157,0,602,554,1052
2007-Q2,Other,3149,615,48,69,14,123,11,2884
2007-Q3,*Total,608216,209755,49533,112444,10045,16703,12281,407210
2007-Q3,Africa North,20996,5008,833,2696,453,521,59,16434
2007-Q3,Africa Sub-Saharan,75989,21828,5048,10176,407,2991,1545,55822
2007-Q3,America North,20350,20005,6643,10786,2,949,1265,705
2007-Q3,America Central and South,18239,8938,1529,5342,195,995,265,9913
2007-Q3,Asia Central,7739,4220,174,2099,201,801,800,3664
2007-Q3,Asia East,86187,35212,3668,29827,547,537,322,51286
2007-Q3,Asia South,168564,52728,15358,23161,202,6128,5863,117852
2007-Q3,Asia South East,40806,17370,3883,10205,173,1235,1255,24055
2007-Q3,EU 14,19,14,0,5,0,0,2,12
2007-Q3,EU 2,10,5,1,2,0,0,1,6
2007-Q3,EU 8,22,6,0,1,0,1,0,20
2007-Q3,EU Other,477,252,74,129,0,30,6,238
2007-Q3,Europe Other,85799,22123,4706,7813,6904,1301,283,64792
2007-Q3,Middle East,71089,12841,984,9320,940,766,191,58888
2007-Q3,Oceania,9134,8603,6583,728,0,359,406,1058
2007-Q3,Other,2796,602,49,154,21,89,18,2465
2007-Q4,*Total,379248,105221,37893,30825,4487,13747,10339,281957
2007-Q4,Africa North,15701,3287,712,1319,302,505,28,12835
2007-Q4,Africa Sub-Saharan,54726,15858,5281,3462,1059,2835,1589,40500
2007-Q4,America North,7429,7203,3574,2071,1,690,642,451
2007-Q4,America Central and South,12819,6222,983,3232,144,958,224,7278
2007-Q4,Asia Central,5357,1815,144,451,257,466,378,3661
2007-Q4,Asia East,39301,9623,2702,5179,532,502,458,29928
2007-Q4,Asia South,103233,30182,12502,6451,277,4408,4991,74604
2007-Q4,Asia South East,26545,8453,2406,2861,132,1204,1178,18764
2007-Q4,EU 14,10,5,2,2,0,0,0,6
2007-Q4,EU 2,7,6,4,0,0,1,1,1
2007-Q4,EU 8,22,5,1,1,0,0,0,20
2007-Q4,EU Other,298,122,35,39,1,27,5,191
2007-Q4,Europe Other,69388,8748,2932,1880,1453,1118,198,61807
2007-Q4,Middle East,34031,5936,657,3654,323,598,199,28600
2007-Q4,Oceania,7561,7263,5933,168,1,317,438,704
2007-Q4,Other,2820,493,25,55,5,118,10,2607
2008-Q1,*Total,395013,116992,44125,33980,5949,14305,11780,284874
2008-Q1,Africa North,16710,3618,571,1845,330,485,27,13452
2008-Q1,Africa Sub-Saharan,48933,15743,5743,3166,786,2744,1776,34718
2008-Q1,America North,7027,6697,3805,1080,5,822,776,539
2008-Q1,America Central and South,11957,6001,1066,2985,165,1073,174,6494
2008-Q1,Asia Central,4371,1474,129,294,195,394,329,3030
2008-Q1,Asia East,38757,12111,3603,6329,878,585,514,26848
2008-Q1,Asia South,125563,36440,14215,9154,377,4991,6289,90537
2008-Q1,Asia South East,28456,8581,2706,2623,446,1268,1131,20282
2008-Q1,EU 14,15,9,4,0,0,1,3,7
2008-Q1,EU 2,18,4,3,1,0,0,0,14
2008-Q1,EU 8,11,2,1,0,0,1,0,9
2008-Q1,EU Other,290,97,32,29,1,24,1,203
2008-Q1,Europe Other,61318,8126,2831,1438,1969,888,158,54034
2008-Q1,Middle East,38981,7825,786,4879,767,619,178,31752
2008-Q1,Oceania,10222,9876,8605,114,2,327,412,762
2008-Q1,Other,2384,388,25,43,28,83,12,2193
2008-Q2,*Total,605196,137881,50698,36200,16479,13406,12327,476086
2008-Q2,Africa North,23249,4813,1073,2193,636,461,14,18872
2008-Q2,Africa Sub-Saharan,65571,14791,5659,1897,1413,2691,1568,52343
2008-Q2,America North,9940,9503,4549,2497,33,871,1288,702
2008-Q2,America Central and South,18376,6797,1240,3388,258,918,226,12346
2008-Q2,Asia Central,6182,1525,121,241,477,339,215,4789
2008-Q2,Asia East,62495,17624,3349,10320,2323,551,809,45143
2008-Q2,Asia South,191164,35625,16437,5309,915,4610,6216,157677
2008-Q2,Asia South East,39148,12037,5057,3945,288,1098,1126,27634
2008-Q2,EU 14,7,5,1,0,0,0,1,5
2008-Q2,EU 2,9,3,1,1,1,0,0,6
2008-Q2,EU 8,18,3,0,0,0,0,0,18
2008-Q2,EU Other,385,137,82,17,3,24,3,256
2008-Q2,Europe Other,99811,14468,3428,1766,7219,915,187,86296
2008-Q2,Middle East,75557,9915,811,4519,2865,504,247,66611
2008-Q2,Oceania,10672,10173,8868,76,2,336,418,972
2008-Q2,Other,2612,462,22,31,46,88,9,2416
2008-Q3,*Total,590439,220962,48440,125081,14137,14061,10903,377817
2008-Q3,Africa North,23503,6491,789,4092,655,458,40,17469
2008-Q3,Africa Sub-Saharan,74037,24755,5906,10983,1964,2769,1590,50825
2008-Q3,America North,21367,21045,6711,11749,27,960,1265,655
2008-Q3,America Central and South,17903,9283,1426,5830,207,973,237,9230
2008-Q3,Asia Central,7522,3412,213,1768,530,428,346,4237
2008-Q3,Asia East,70156,37511,3307,30561,1921,534,906,32927
2008-Q3,Asia South,159606,52697,14833,26106,533,4354,4797,108983
2008-Q3,Asia South East,42565,19121,3604,12819,264,1140,796,23942
2008-Q3,EU 14,16,11,3,1,0,0,4,8
2008-Q3,EU 2,16,5,0,3,0,0,1,12
2008-Q3,EU 8,16,10,5,1,1,1,0,8
2008-Q3,EU Other,456,266,65,147,1,30,6,207
2008-Q3,Europe Other,82237,20017,4419,6955,6192,1262,216,63193
2008-Q3,Middle East,79730,17644,958,13023,1790,721,282,62956
2008-Q3,Oceania,8506,8156,6170,905,5,350,400,676
2008-Q3,Other,2803,538,31,138,47,81,17,2489
2008-Q4,*Total,363957,108341,41448,36714,5673,11772,6450,261900
2008-Q4,Africa North,16272,3521,591,1728,371,432,16,13134
2008-Q4,Africa Sub-Saharan,52024,16104,6128,3328,1401,2913,1074,37180
2008-Q4,America North,8825,8611,4042,3007,24,665,678,409
2008-Q4,America Central and South,11449,5980,862,3398,87,909,163,6030
2008-Q4,Asia Central,4507,1473,144,449,199,344,238,3133
2008-Q4,Asia East,35531,8871,2469,4555,635,447,509,26916
2008-Q4,Asia South,92516,29922,15427,7949,330,3080,2031,63699
2008-Q4,Asia South East,24461,8240,2043,3877,114,941,949,16537
2008-Q4,EU 14,5,4,0,0,0,1,0,4
2008-Q4,EU 2,11,2,2,0,0,0,0,9
2008-Q4,EU 8,5,1,0,0,0,0,0,5
2008-Q4,EU Other,191,86,30,25,2,13,4,117
2008-Q4,Europe Other,66862,8853,2845,2128,1917,842,144,58986
2008-Q4,Middle East,41178,8914,620,6041,586,797,223,32911
2008-Q4,Oceania,7683,7384,6227,193,1,310,410,542
2008-Q4,Other,2437,375,18,36,6,78,11,2288
2009-Q1,*Total,386579,110464,41487,37616,5914,12997,4787,283778
2009-Q1,Africa North,17072,3514,504,1759,347,457,41,13964
2009-Q1,Africa Sub-Saharan,54120,11852,3582,2903,804,2502,593,43736
2009-Q1,America North,7066,6750,3757,1295,15,770,711,518
2009-Q1,America Central and South,10941,5390,858,2988,77,729,112,6177
2009-Q1,Asia Central,4108,1439,85,289,235,380,334,2785
2009-Q1,Asia East,31693,9542,3206,4517,645,417,285,22623
2009-Q1,Asia South,112271,35803,16488,11582,426,4238,1774,77763
2009-Q1,Asia South East,27874,7577,2425,2859,506,1066,342,20676
2009-Q1,EU 14,3,3,0,1,0,0,1,1
2009-Q1,EU 2,17,12,8,0,1,1,0,7
2009-Q1,EU 8,4,0,0,0,0,0,0,4
2009-Q1,EU Other,219,79,39,19,2,7,5,147
2009-Q1,Europe Other,57907,7671,1362,1835,2017,984,128,51581
2009-Q1,Middle East,51527,10822,563,7451,831,964,179,41539
2009-Q1,Oceania,9926,9679,8597,96,6,382,276,569
2009-Q1,Other,1831,331,13,22,2,100,6,1688
2009-Q2,*Total,576235,110867,44383,28462,14274,10625,4867,473624
2009-Q2,Africa North,22260,3092,874,651,697,442,27,19569
2009-Q2,Africa Sub-Saharan,88678,9283,2894,1178,918,2267,405,81016
2009-Q2,America North,9113,8697,4482,1783,28,749,1303,768
2009-Q2,America Central and South,15984,3860,844,1262,435,597,120,12726
2009-Q2,Asia Central,6289,1461,82,178,540,278,225,4986
2009-Q2,Asia East,50675,14670,3246,8531,1774,540,247,36337
2009-Q2,Asia South,173523,32935,17617,7340,1091,3278,1764,142433
2009-Q2,Asia South East,36725,9866,4818,3259,427,728,160,27333
2009-Q2,EU 14,4,4,1,0,0,0,0,3
2009-Q2,EU 2,10,2,1,0,0,0,0,9
2009-Q2,EU 8,4,4,0,0,0,1,0,3
2009-Q2,EU Other,205,97,39,12,7,14,1,132
2009-Q2,Europe Other,83774,10107,1371,943,5963,761,119,74617
2009-Q2,Middle East,78006,8039,746,3205,2349,537,227,70942
2009-Q2,Oceania,8847,8345,7351,111,11,323,266,785
2009-Q2,Other,2138,405,17,9,34,110,3,1965
2009-Q3,*Total,609481,240217,36945,166289,11954,11468,3918,378907
2009-Q3,Africa North,21246,4777,565,2644,721,378,33,16905
2009-Q3,Africa Sub-Saharan,103060,21911,3084,12140,1281,2835,524,83196
2009-Q3,America North,21395,20996,6053,12545,134,863,1070,730
2009-Q3,America Central and South,18034,7996,1149,4903,355,804,162,10661
2009-Q3,Asia Central,6249,2923,124,2084,243,184,124,3490
2009-Q3,Asia East,80066,46936,2801,41296,1806,487,213,33463
2009-Q3,Asia South,166314,74093,13378,53745,813,2701,777,94900
2009-Q3,Asia South East,46530,21975,2778,16540,328,1405,328,25151
2009-Q3,EU 14,3,2,0,0,0,1,0,2
2009-Q3,EU 2,13,5,1,0,1,1,1,9
2009-Q3,EU 8,9,5,2,1,0,0,0,6
2009-Q3,EU Other,307,189,37,115,7,10,2,136
2009-Q3,Europe Other,72690,15406,1793,6900,4661,865,160,58311
2009-Q3,Middle East,64525,16377,789,12463,1538,538,216,48981
2009-Q3,Oceania,6646,6224,4370,848,48,345,302,733
2009-Q3,Other,2394,402,21,65,18,51,6,2233
2009-Q4,*Total,423058,135902,32876,70994,5561,14083,3908,295636
2009-Q4,Africa North,19753,4192,507,2360,524,430,24,15908
2009-Q4,Africa Sub-Saharan,70387,11757,2513,3451,735,2774,415,60499
2009-Q4,America North,9013,8748,3782,2988,108,910,753,472
2009-Q4,America Central and South,11576,4563,678,2129,242,654,105,7768
2009-Q4,Asia Central,5182,2071,69,569,103,624,518,3299
2009-Q4,Asia East,32497,8025,2015,4750,312,498,159,24763
2009-Q4,Asia South,131380,66042,14281,42258,665,5507,1206,67463
2009-Q4,Asia South East,26817,7695,2215,3682,144,1063,192,19521
2009-Q4,EU 14,7,5,1,3,0,0,1,2
2009-Q4,EU 2,5,1,0,0,0,0,0,5
2009-Q4,EU 8,6,3,1,0,0,0,0,5
2009-Q4,EU Other,220,122,35,43,4,20,0,118
2009-Q4,Europe Other,66600,7601,1263,2547,1728,808,169,60085
2009-Q4,Middle East,41424,8785,617,5976,962,484,97,33288
2009-Q4,Oceania,6178,5862,4887,214,27,242,256,552
2009-Q4,Other,2013,430,12,24,7,69,13,1888
2010-Q1,*Total,407252,117028,38789,47564,6967,12393,3308,298231
2010-Q1,Africa North,18688,3638,630,1658,509,450,30,15411
2010-Q1,Africa Sub-Saharan,64623,11191,2597,2979,708,2844,402,55093
2010-Q1,America North,7486,7154,4452,961,68,767,659,579
2010-Q1,America Central and South,11527,5039,1092,2064,326,843,124,7078
2010-Q1,Asia Central,4115,1312,93,354,131,258,238,3041
2010-Q1,Asia East,35939,11253,3997,5440,774,506,249,24973
2010-Q1,Asia South,121897,46480,14228,24978,549,3806,801,77535
2010-Q1,Asia South East,30854,7262,2303,2740,693,968,185,23965
2010-Q1,EU 14,3,2,0,1,0,0,0,2
2010-Q1,EU 2,8,7,5,0,1,0,1,1
2010-Q1,EU 8,2,1,1,0,0,0,0,1
2010-Q1,EU Other,178,76,30,14,2,18,0,114
2010-Q1,Europe Other,58829,6650,1055,1545,1872,973,154,53230
2010-Q1,Middle East,42203,7628,551,4705,1306,484,74,35083
2010-Q1,Oceania,9402,9031,7745,116,13,429,384,715
2010-Q1,Other,1498,304,10,9,15,47,7,1410
2010-Q2,*Total,636871,123503,46005,35336,17377,12296,4273,521584
2010-Q2,Africa North,25534,3844,875,1225,934,372,34,22094
2010-Q2,Africa Sub-Saharan,92984,10834,2921,1510,1406,2723,534,83890
2010-Q2,America North,11170,10755,6000,2175,104,733,1249,909
2010-Q2,America Central and South,17887,4803,972,1573,695,827,143,13677
2010-Q2,Asia Central,6274,1343,104,248,411,282,166,5063
2010-Q2,Asia East,65511,15637,2542,10500,1549,525,191,50204
2010-Q2,Asia South,186740,38919,18379,11734,1586,4249,850,149942
2010-Q2,Asia South East,39362,10397,4988,2768,553,1195,440,29418
2010-Q2,EU 14,3,2,0,0,0,0,1,2
2010-Q2,EU 2,8,4,2,0,1,1,0,4
2010-Q2,EU 8,9,2,0,0,0,2,0,7
2010-Q2,EU Other,239,83,33,12,10,14,1,169
2010-Q2,Europe Other,98054,11561,1628,796,7410,678,175,87367
2010-Q2,Middle East,83136,7254,735,2693,2669,409,222,76408
2010-Q2,Oceania,8055,7636,6798,95,18,216,263,665
2010-Q2,Other,1905,429,28,7,31,70,4,1765
2010-Q3,*Total,669858,241981,43350,155110,16464,13409,3959,437566
2010-Q3,Africa North,23694,5509,745,3037,779,499,43,18591
2010-Q3,Africa Sub-Saharan,100247,21098,2948,10946,1670,2918,567,81198
2010-Q3,America North,22350,22007,6709,12861,200,858,911,811
2010-Q3,America Central and South,16708,7551,1306,4056,541,800,156,9849
2010-Q3,Asia Central,7049,3345,132,2113,374,279,207,3944
2010-Q3,Asia East,107824,54202,2987,46261,3610,655,252,54059
2010-Q3,Asia South,173991,66883,18036,40190,1037,4330,748,109650
2010-Q3,Asia South East,50546,20085,2711,14974,488,1113,295,30965
2010-Q3,EU 14,10,8,1,3,0,0,0,6
2010-Q3,EU 2,11,6,5,1,0,0,0,5
2010-Q3,EU 8,1,0,0,0,0,0,0,1
2010-Q3,EU Other,324,217,42,124,5,18,1,134
2010-Q3,Europe Other,81076,16430,2084,6401,5716,953,255,65667
2010-Q3,Middle East,76911,17597,930,13176,1945,521,301,60038
2010-Q3,Oceania,6992,6601,4697,903,83,391,214,704
2010-Q3,Other,2124,442,17,64,16,74,9,1944
2010-Q4,*Total,430640,114454,32593,47534,8383,14211,3817,324102
2010-Q4,Africa North,19938,3813,532,1655,616,500,49,16586
2010-Q4,Africa Sub-Saharan,75106,12650,2275,3935,1036,3124,507,64229
2010-Q4,America North,8707,8440,3819,2612,90,827,853,506
2010-Q4,America Central and South,10864,4358,673,1806,406,753,103,7123
2010-Q4,Asia Central,4851,1581,92,402,226,389,309,3433
2010-Q4,Asia East,38686,9294,2351,4693,1175,563,224,29680
2010-Q4,Asia South,112950,45135,14126,22074,721,5252,967,69810
